name,platform,category,base,downloads,rating,specialty,hardware,architecture,style,usecase,quality,modality,created_at,trending_score,popularity_score,source,lastUpdated,verified,subtitle,description,primaryUseCase,keyFeatures,performance,recommendedSettings,creator,license,modelSize,trainingDataset
"Example Model Name","Civitai","Checkpoint","SDXL","50k",4.8,"General purpose generation","RTX 3060+ (6GB VRAM)","sdxl","realistic","concept","production","text-to-image","2024-01-15",75,45000,"community","2024-02-20",true,"","","","","","","","","",""
"FLUX.1 [dev]","Black Forest Labs","Model","FLUX","100k",4.9,"High quality image generation","RTX 4090 (24GB VRAM)","flux","artistic","portrait","production","text-to-image","2024-06-01",95,120000,"lab","2024-11-01",true,"","","","","","","","","",""
"Illustrious XL v0.1","Civitai","Checkpoint","SDXL","75k",4.7,"Anime and illustration focused","RTX 3070+ (8GB VRAM)","sdxl","anime","character","production","text-to-image","2024-03-10",80,65000,"community","2024-10-15",true,"","","","","","","","","",""
"Pony Diffusion V6 XL","Civitai","Checkpoint","SDXL","120k",4.6,"Versatile character generation","RTX 3060+ (6GB VRAM)","sdxl","anime","character","production","text-to-image","2024-02-01",70,98000,"community","2024-09-30",true,"","","","","","","","","",""
"NoobAI XL","Civitai","Checkpoint","SDXL","85k",4.8,"High detail anime models","RTX 3070+ (8GB VRAM)","sdxl","anime","concept","production","text-to-image","2024-04-15",85,72000,"community","2024-11-10",true,"","","","","","","","","",""
"WAN-2.2","Tencent","Model","WAN","40k",4.5,"Fast video generation","RTX 4070+ (12GB VRAM)","proprietary","realistic","landscape","production","text-to-video","2024-07-20",60,38000,"lab","2024-11-15",true,"","","","","","","","","",""
"HunyuanVideo","Tencent","Model","Hunyuan","30k",4.4,"Long-form video synthesis","RTX 4090 (24GB VRAM)","proprietary","realistic","concept","experimental","text-to-video","2024-08-01",55,28000,"lab","2024-11-20",true,"","","","","","","","","",""
"Makoto Shinkai Style (Your Name, Suzume)","Civitai","LoRA","SDXL","35k",4.8,"Artistic style replication with high fidelity","Any GPU with 6GB+ VRAM","sdxl","artistic","style","production","lora","2024-05-10",65,40000,"community","2024-11-05",true,"","","","","","","","","",""
"Hatsune Miku (Vocaloid)","Civitai","LoRA","Illustrious XL","65k",4.9,"Character consistency and accurate representation","Any GPU with 6GB+ VRAM","sdxl","anime","character","production","lora","2024-04-20",120,85000,"community","2024-11-12",true,"","","","","","","","","",""
"Blue Archive - Arona","HuggingFace","LoRA","NoobAI XL","45k",4.7,"Character consistency and accurate representation","Any GPU with 6GB+ VRAM","sdxl","anime","character","production","lora","2024-06-05",90,55000,"community","2024-11-08",true,"","","","","","","","","","" 
